id,address,categories,primaryCategories,city,country,keys,latitude,longitude,menuPageURL,menus.amountMax,menus.amountMin,menus.description,menus.name,name,postalCode,priceRangeMin,priceRangeMax,province
AVwcoEiNIN2L1WUfnF36,2221 Browning Dr,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Arlington,US,us/tx/arlington/2221browningdr/1023837469,32.707464,-97.085036,,1,1,,Pizza Topping,Italy Pizza Pasta Subs,76010,25,40,TX
AVweM6RuIN2L1WUf24PG,150 N Pantano Rd,Pizza Place,Accommodation & Food Services,Tucson,US,us/az/tucson/150npantanord/-874863116,32.223015,-110.822913,,8.99,8.99,"Mozzarella cheese, Pizza sauce and your choice of 3 toppings.",Pizza Sub Deluxe,Hungry Howies Pizza,85710,25,40,AZ
AVweM6RuIN2L1WUf24PG,150 N Pantano Rd,Pizza Place,Accommodation & Food Services,Tucson,US,us/az/tucson/150npantanord/-874863116,32.223015,-110.822913,,11.99,11.99,,Veggie Pizza,Hungry Howies Pizza,85710,25,40,AZ
AVweM6RuIN2L1WUf24PG,150 N Pantano Rd,Pizza Place,Accommodation & Food Services,Tucson,US,us/az/tucson/150npantanord/-874863116,32.223015,-110.822913,,8.99,8.99,,Howie Special Pizza,Hungry Howies Pizza,85710,25,40,AZ
AVweM6RuIN2L1WUf24PG,150 N Pantano Rd,Pizza Place,Accommodation & Food Services,Tucson,US,us/az/tucson/150npantanord/-874863116,32.223015,-110.822913,,11.99,11.99,,Bacon Cheddar Cheeseburger Pizza,Hungry Howies Pizza,85710,25,40,AZ
AVweM6RuIN2L1WUf24PG,150 N Pantano Rd,Pizza Place,Accommodation & Food Services,Tucson,US,us/az/tucson/150npantanord/-874863116,32.223015,-110.822913,,8.49,8.49,,Thin Crust Cheese Pizza,Hungry Howies Pizza,85710,25,40,AZ
AVweM6RuIN2L1WUf24PG,150 N Pantano Rd,Pizza Place,Accommodation & Food Services,Tucson,US,us/az/tucson/150npantanord/-874863116,32.223015,-110.822913,,11.99,11.99,,Howie Maui Pizza,Hungry Howies Pizza,85710,25,40,AZ
AVweM6RuIN2L1WUf24PG,150 N Pantano Rd,Pizza Place,Accommodation & Food Services,Tucson,US,us/az/tucson/150npantanord/-874863116,32.223015,-110.822913,,5.99,5.99,,Cheese Pizza,Hungry Howies Pizza,85710,25,40,AZ
AVweM6RuIN2L1WUf24PG,150 N Pantano Rd,Pizza Place,Accommodation & Food Services,Tucson,US,us/az/tucson/150npantanord/-874863116,32.223015,-110.822913,,7.99,7.99,"Mozzarella cheese, Pizza sauce and loaded with Pepperoni.",Pizza Sub,Hungry Howies Pizza,85710,25,40,AZ
AWESAELwa4HuVbedMwTP,1250 Gen. Washington Blvd.,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Washington Crossing,US,us/pa/washingtoncrossing/1250gen.washingtonblvd./-1256009802,40.292365,-74.872428,,17,17,,Nick's Specialty Pizza,Dominicks Pizzeria Italian Restaurant,18977,0,25,PA
AWESAELwa4HuVbedMwTP,1250 Gen. Washington Blvd.,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Washington Crossing,US,us/pa/washingtoncrossing/1250gen.washingtonblvd./-1256009802,40.292365,-74.872428,,21,21,,Buffalo Wing Pizza,Dominicks Pizzeria Italian Restaurant,18977,0,25,PA
